Base,Dirección,Colonia,m2,Clasif.,Antigüedad,Clasif.,Elev,Est,Rec,Bañ,"Interior 
Exteriror",Balcón,Roof privado/ Patio interior,m2 Roof privado/ Patio interior,Amenidades,Bodega,Cuarto de servicio,Jaula de tendido,Seguridad,Costo Mantenimiento,Precio de venta,Sin Estacionamiento,$/m2,$/m2 (-5%),$/m2 sin est,Link
CK Leads,"5 de febrero 1058, depto B-107",Americas Unidas,54,1,13,4,Sí,1,2,1,Interior,No,,,No,No,No,,Sí,650,"$2,100,000","$1,977,179","$38,889","$36,944","$36,614",
CK Leads,Miguel Serrano 67,Del Valle Centro,54,1,30,6,No,0,1,,Interior,No,,,No,No,,,Sí,850,"$2,290,000","$2,167,179","$42,407","$40,287","$40,133",
CK Leads,Av. Coyoacán 1045,Del Valle Centro,54,1,44,7,No,0,1,1,Interior ,No,,,No,No,No,,No,,"$2,300,000","$2,177,179","$42,593","$40,463","$40,318",
CK Leads,Nogal 187,Santa Maria la Ribera ,55,1,10,3,Sí,1,2,1,Exterior ,No,,,Sí,No,,,Sí,1700,"$2,680,000","$2,557,179","$48,727","$46,291","$46,494",
CK Leads,Cerrada Revolución 27,8 de Agosto,55,1,15,4,Sí,1,2,1,Interior,No,,,No,No,No,,Sí,,"$2,300,000","$2,177,179","$41,818","$39,727","$39,585",
CK Leads,sevilla 408 int 501,Portales Norte,49,1,11,4,Sí,1,2,1,Interior,,No,,No,No,No,No,Sí,900,"$1,950,000","$1,827,179","$39,796","$37,806","$37,289",
CK Leads,San Antonio Abad 66,Transito,57,1,3,2,Sí,1,2,1,Exterior,,,,No,,,,Sí,1200,"$1,800,000","$1,677,179","$31,579","$30,000","$29,424",
CK Leads,Xochicalco 330,Narvarte Oriente,58,1,50,7,No,0,1,1,Interior,,,,No,,,,Sí,,"$2,300,000","$2,177,179","$39,655","$37,672","$37,538",
CK Leads,Torres Adalid 1011,Del Valle Norte,58,1,46,7,No,1,2,1,Exterior ,,,,No,,,,Sí,500,"$2,600,000","$2,477,179","$44,828","$42,586","$42,710",
CK Leads,"Frontera 129, Departamento 304",Roma Norte,59,1,40,7,Sí,0,1,1,Exterior,,,,No,,,,Sí,1800,"$3,350,000","$3,227,179","$57,089","$54,235","$54,996",
CK Leads,Rio Becerra 451,Napoles,59,1,0,1,,,,,,,,,,,,,,,"$3,300,000","$3,177,179","$55,932","$53,136","$53,850",
CK Leads,Antonio Rodriguez,San Simon Ticumac,60,1,3,2,Sí,1,2,2,Exterior,,,,Sí,,,,Sí,1300,"$2,660,000","$2,537,179","$44,333","$42,117","$42,286",
