Base,Dirección,Colonia,m2,Clasif.,Antigüedad,Clasif.,Elev,Est,Rec,Bañ,"Interior 
Exteriror",Balcón,Roof privado/ Patio interior,m2 Roof privado/ Patio interior,Amenidades,Bodega,Cuarto de servicio,Jaula de tendido,Seguridad,Costo Mantenimiento,Precio de venta,Sin Estacionamiento,$/m2,$/m2 (-5%),$/m2 sin est,Link
Remax,Ingenieros Militares,San Lorenzo Tlaltenango,62,1,,,,2,2,2,,,,,,,,,,,"$2,902,788","$2,779,967","$46,512","$44,186","$44,544",https://remax.com.mx/propiedad/402555
Remax,Sevilla ,Portales Sur,30,0,,,,,1,1,,,,,,,,,,,"$2,905,610","$2,782,789","$96,854","$92,011","$92,760",https://remax.com.mx/propiedad/499212
Remax,Sevilla ,Portales Sur,30,0,,,,,1,1,,,,,,,,,,,"$2,905,610","$2,782,789","$96,854","$92,011","$92,760",https://remax.com.mx/propiedad/499212
Remax,Division Del Norte,Lomas de Memetla,48,1,,,,1,1,1,,,,,,,,,,,"$2,922,150","$2,799,329","$60,878","$57,834","$58,319",https://remax.com.mx/propiedad/471067
Remax,Division Del Norte,Lomas de Memetla,48,1,,,,1,1,1,,,,,,,,,,,"$2,922,150","$2,799,329","$60,878","$57,834","$58,319",https://remax.com.mx/propiedad/471067
Remax,Av. Jardín,Del Gas,92,3,,,,2,2,2,,,,,,,,,,,"$2,928,916","$2,806,094","$31,681","$30,097","$30,353",https://remax.com.mx/propiedad/399341
Remax,Av. Jardín,Del Gas,92,3,,,,2,2,2,,,,,,,,,,,"$2,928,916","$2,806,094","$31,681","$30,097","$30,353",https://remax.com.mx/propiedad/399341
Remax,Lucas Alamán,Obrera,121,3,,,,2,2,2,,,,,,,,,,,"$2,950,000","$2,827,179","$24,425","$23,203","$23,408",https://remax.com.mx/propiedad/505389
Remax,Hortensia,Santa Maria la Ribera,74,2,,,,1,2,2,,,,,,,,,,,"$2,950,000","$2,827,179","$39,865","$37,872","$38,205",https://remax.com.mx/propiedad/493925
Remax,Dr. José María Vértiz,Piedad Narvarte,64,1,,,,1,2,2,,,,,,,,,,,"$2,950,000","$2,827,179","$46,094","$43,789","$44,175",https://remax.com.mx/propiedad/486971
Remax,Navío,Lomas del Chamizal,56,1,,,,1,1,1,,,,,,,,,,,"$2,950,000","$2,827,179","$52,688","$50,054","$50,494",https://remax.com.mx/propiedad/478739
Remax,Lucas Alamán,Obrera,121,3,,,,2,2,2,,,,,,,,,,,"$2,950,000","$2,827,179","$24,425","$23,203","$23,408",https://remax.com.mx/propiedad/505389
Remax,Hortensia,Santa Maria la Ribera,74,2,,,,1,2,2,,,,,,,,,,,"$2,950,000","$2,827,179","$39,865","$37,872","$38,205",https://remax.com.mx/propiedad/493925
Remax,Dr. José María Vértiz,Piedad Narvarte,64,1,,,,1,2,2,,,,,,,,,,,"$2,950,000","$2,827,179","$46,094","$43,789","$44,175",https://remax.com.mx/propiedad/486971
Remax,Navío,Lomas del Chamizal,56,1,,,,1,1,1,,,,,,,,,,,"$2,950,000","$2,827,179","$52,688","$50,054","$50,494",https://remax.com.mx/propiedad/478739
Remax,"Alpes Residencial Ii, Blvd. Adolfo Lopez Mateos,Periferico Sur, Colonia Los Alpes.",Los Alpes,43,1,,,,,1,1,,,,,,,,,,,"$2,951,000","$2,828,179","$68,836","$65,394","$65,971",https://remax.com.mx/propiedad/484643
Remax,"Alpes Residencial Ii, Blvd. Adolfo Lopez Mateos,Periferico Sur, Colonia Los Alpes.",Los Alpes,43,1,,,,,1,1,,,,,,,,,,,"$2,951,000","$2,828,179","$68,836","$65,394","$65,971",https://remax.com.mx/propiedad/484643
Remax,Prolongación Paseo De La Reforma ,San Gabriel,37,0,,,,,1,1,,,,,,,,,,,"$2,957,456","$2,834,635","$79,931","$75,935","$76,612",https://remax.com.mx/propiedad/487730
Remax,Prolongación Paseo De La Reforma ,San Gabriel,37,0,,,,,1,1,,,,,,,,,,,"$2,957,456","$2,834,635","$79,931","$75,935","$76,612",https://remax.com.mx/propiedad/487730
Remax,Lago Xochimilco,Anahuac I Seccion,78,2,,,,1,3,2,,,,,,,,,,,"$2,960,000","$2,837,179","$37,803","$35,913","$36,235",https://remax.com.mx/propiedad/504511
Remax,General Emiliano Zapata,Santa Cruz Atoyac,64,1,,,,,2,2,,,,,,,,,,,"$2,960,000","$2,837,179","$46,250","$43,938","$44,331",https://remax.com.mx/propiedad/493325
Remax,Lago Xochimilco,Anahuac I Seccion,78,2,,,,1,3,2,,,,,,,,,,,"$2,960,000","$2,837,179","$37,803","$35,913","$36,235",https://remax.com.mx/propiedad/504511
Remax,General Emiliano Zapata,Santa Cruz Atoyac,64,1,,,,,2,2,,,,,,,,,,,"$2,960,000","$2,837,179","$46,250","$43,938","$44,331",https://remax.com.mx/propiedad/493325
Remax,Francisco Del Paso Y Troncoso,Granjas Mexico,81,2,,,,1,3,2,,,,,,,,,,,"$2,966,993","$2,844,172","$36,571","$34,742","$35,057",https://remax.com.mx/propiedad/498091
Remax,Francisco Del Paso Y Troncoso,Granjas Mexico,81,2,,,,1,3,2,,,,,,,,,,,"$2,966,993","$2,844,172","$36,571","$34,742","$35,057",https://remax.com.mx/propiedad/498091
Remax,Bulgaria,Portales Sur,60,1,,,,1,2,2,,,,,,,,,,,"$2,985,000","$2,862,179","$49,750","$47,263","$47,703",https://remax.com.mx/propiedad/485147
Remax,Bulgaria,Portales Sur,60,1,,,,1,2,2,,,,,,,,,,,"$2,985,000","$2,862,179","$49,750","$47,263","$47,703",https://remax.com.mx/propiedad/485147
Remax,Luis Echeverría,Cuajimalpa,136,4,,,,2,2,2.5,,,,,,,,,,,"$2,990,000","$2,867,179","$21,985","$20,886","$21,082",https://remax.com.mx/propiedad/493480
Remax,Jose Joaquin Arriaga ,Obrera,80,2,,,,1,2,2,,,,,,,,,,,"$2,990,000","$2,867,179","$37,375","$35,506","$35,840",https://remax.com.mx/propiedad/452608
Remax,Zaragoza,Buenavista,129,3,,,,1,1,1,,,,,,,,,,,"$2,990,000","$2,867,179","$23,119","$21,963","$22,169",https://remax.com.mx/propiedad/481375
Remax,Luis Echeverría,Cuajimalpa,136,4,,,,2,2,2.5,,,,,,,,,,,"$2,990,000","$2,867,179","$21,985","$20,886","$21,082",https://remax.com.mx/propiedad/493480
Remax,Jose Joaquin Arriaga ,Obrera,80,2,,,,1,2,2,,,,,,,,,,,"$2,990,000","$2,867,179","$37,375","$35,506","$35,840",https://remax.com.mx/propiedad/452608
Remax,Zaragoza,Buenavista,129,3,,,,1,1,1,,,,,,,,,,,"$2,990,000","$2,867,179","$23,119","$21,963","$22,169",https://remax.com.mx/propiedad/481375
Remax,Rio Usuri,Cuauhtemoc,77,2,,,,,2,1,,,,,,,,,,,"$2,995,000","$2,872,179","$38,896","$36,951","$37,301",https://remax.com.mx/propiedad/505623
Remax,Gabriel Mancera,San Juan,70,2,,,,,2,1,,,,,,,,,,,"$2,995,000","$2,872,179","$42,786","$40,646","$41,031",https://remax.com.mx/propiedad/504648
Remax,Gabino Barreda,San Rafael,88,2,,,,1,2,1,,,,,,,,,,,"$2,995,000","$2,872,179","$34,034","$32,332","$32,638",https://remax.com.mx/propiedad/504668
Remax,Cinco De Febrero,Algarin,85,2,,,,1,2,2,,,,,,,,,,,"$2,995,000","$2,872,179","$35,235","$33,474","$33,790",https://remax.com.mx/propiedad/388277
Remax,Rio Usuri,Cuauhtemoc,77,2,,,,,2,1,,,,,,,,,,,"$2,995,000","$2,872,179","$38,896","$36,951","$37,301",https://remax.com.mx/propiedad/505623
Remax,Gabriel Mancera,San Juan,70,2,,,,,2,1,,,,,,,,,,,"$2,995,000","$2,872,179","$42,786","$40,646","$41,031",https://remax.com.mx/propiedad/504648
Remax,Gabino Barreda,San Rafael,88,2,,,,1,2,1,,,,,,,,,,,"$2,995,000","$2,872,179","$34,034","$32,332","$32,638",https://remax.com.mx/propiedad/504668
Remax,Cinco De Febrero,Algarin,85,2,,,,1,2,2,,,,,,,,,,,"$2,995,000","$2,872,179","$35,235","$33,474","$33,790",https://remax.com.mx/propiedad/388277
Remax,Lago Iseo ,Anahuac I Seccion,75,2,,,,1,3,1,,,,,,,,,,,"$3,000,000","$2,877,179","$40,000","$38,000","$38,362",https://remax.com.mx/propiedad/500933
Remax,Calzada México Tacuba,Argentina Poniente,80,2,,,,1,3,2,,,,,,,,,,,"$3,000,000","$2,877,179","$37,500","$35,625","$35,965",https://remax.com.mx/propiedad/416368
Remax,Jose Rosas Moreno,San Rafael,78,2,,,,1,3,2,,,,,,,,,,,"$3,000,000","$2,877,179","$38,462","$36,538","$36,887",https://remax.com.mx/propiedad/496057
Remax,Av. De Las Torres,Olivar de los Padres,57,1,,,,1,1,1,,,,,,,,,,,"$3,000,000","$2,877,179","$52,632","$50,000","$50,477",https://remax.com.mx/propiedad/491940
Remax,Av. Cuitláhuac,Aguilera,66,2,,,,1,2,2,,,,,,,,,,,"$3,000,000","$2,877,179","$45,455","$43,182","$43,594",https://remax.com.mx/propiedad/484301
Remax,Albert,Albert,61,1,,,,1,2,1,,,,,,,,,,,"$3,000,000","$2,877,179","$49,180","$46,721","$47,167",https://remax.com.mx/propiedad/475795
Remax,Lago Iseo ,Anahuac I Seccion,75,2,,,,1,3,1,,,,,,,,,,,"$3,000,000","$2,877,179","$40,000","$38,000","$38,362",https://remax.com.mx/propiedad/500933
Remax,Calzada México Tacuba,Argentina Poniente,80,2,,,,1,3,2,,,,,,,,,,,"$3,000,000","$2,877,179","$37,500","$35,625","$35,965",https://remax.com.mx/propiedad/416368
Remax,Jose Rosas Moreno,San Rafael,78,2,,,,1,3,2,,,,,,,,,,,"$3,000,000","$2,877,179","$38,462","$36,538","$36,887",https://remax.com.mx/propiedad/496057
Remax,Av. De Las Torres,Olivar de los Padres,57,1,,,,1,1,1,,,,,,,,,,,"$3,000,000","$2,877,179","$52,632","$50,000","$50,477",https://remax.com.mx/propiedad/491940
Remax,Av. Cuitláhuac,Aguilera,66,2,,,,1,2,2,,,,,,,,,,,"$3,000,000","$2,877,179","$45,455","$43,182","$43,594",https://remax.com.mx/propiedad/484301
Remax,Albert,Albert,61,1,,,,1,2,1,,,,,,,,,,,"$3,000,000","$2,877,179","$49,180","$46,721","$47,167",https://remax.com.mx/propiedad/475795
Remax,Av. El Bordo,Viejo Ejido de Santa ursula Coapa,83,2,,,,3,2,2,,,,,,,,,,,"$4,000,000","$3,877,179","$48,193","$45,783","$46,713",https://remax.com.mx/propiedad/501500
Remax,Rumania,Portales Norte,78,2,,,,1,3,2,,,,,,,,,,,"$4,000,000","$3,877,179","$51,282","$48,718","$49,707",https://remax.com.mx/propiedad/500277
Remax,Av Las Torres,Torres de Potrero,72,2,,,,2,2,2,,,,,,,,,,,"$4,000,000","$3,877,179","$55,556","$52,778","$53,850",https://remax.com.mx/propiedad/492807
Remax,Prol. Paseo De La Reforma,Santa Fe,78,2,,,,1,1,1,,,,,,,,,,,"$4,000,000","$3,877,179","$51,282","$48,718","$49,707",https://remax.com.mx/propiedad/492696
Remax,Avenida Chapultepec,Roma Norte,50,1,,,,1,1,1,,,,,,,,,,,"$4,000,000","$3,877,179","$80,000","$76,000","$77,544",https://remax.com.mx/propiedad/492192
Remax,Av. Tecamachalco,Reforma Social,67,2,,,,1,1,1,,,,,,,,,,,"$4,000,000","$3,877,179","$59,286","$56,321","$57,465",https://remax.com.mx/propiedad/486252
Remax,Avenida Santa Fe,Santa Fe Cuajimalpa,61,1,,,,1,1,1,,,,,,,,,,,"$4,000,000","$3,877,179","$65,574","$62,295","$63,560",https://remax.com.mx/propiedad/470567
Remax,Rafael Martinez,Independencia,97,3,,,,1,2,2,,,,,,,,,,,"$4,036,000","$3,913,179","$41,608","$39,528","$40,342",https://remax.com.mx/propiedad/471050
Remax,Zacatecas ,Cuauhtemoc,69,2,,,,0,1,1,,,,,,,,,,,"$4,066,000","$3,943,179","$58,928","$55,981","$57,148",https://remax.com.mx/propiedad/448386
Remax,The Point Santa Fe ,Santa Fe,80,2,,,,1,1,1,,,,,,,,,,,"$4,079,628","$3,956,807","$50,995","$48,446","$49,460",https://remax.com.mx/propiedad/454380
Remax,Diaz M,Santa Maria la Ribera,76,2,,,,1,2,2,,,,,,,,,,,"$4,082,364","$3,959,543","$53,971","$51,272","$52,347",https://remax.com.mx/propiedad/488024
Remax,Avenida De Las Torres ,Torres de Potrero,90,2,,,,2,2,2,,,,,,,,,,,"$4,099,000","$3,976,179","$45,544","$43,267","$44,180",https://remax.com.mx/propiedad/499237
Remax,Baja California,Roma Sur,78,2,,,,1,1,1,,,,,,,,,,,"$4,100,000","$3,977,179","$52,564","$49,936","$50,989",https://remax.com.mx/propiedad/465885
Remax,Avenida 16 De Septiembre,Contadero,90,2,,,,2,2,2,,,,,,,,,,,"$4,100,000","$3,977,179","$45,790","$43,500","$44,418",https://remax.com.mx/propiedad/477072
Remax,Progreso,Escandon I Seccion,90,2,,,,1,2,2,,,,,,,,,,,"$4,100,000","$3,977,179","$45,556","$43,278","$44,191",https://remax.com.mx/propiedad/493369
Remax,Av. Popocatepetl ,Santa Cruz Atoyac,68,2,,,,2,2,2,,,,,,,,,,,"$4,100,000","$3,977,179","$60,294","$57,279","$58,488",https://remax.com.mx/propiedad/451361
Remax,Av Las Torres,Olivar de los Padres,55,1,,,,2,1,1,,,,,,,,,,,"$4,150,000","$4,027,179","$75,564","$71,786","$73,328",https://remax.com.mx/propiedad/505792
Remax,Periférico Sur,Pedregal de Carrasco,84,2,,,,2,2,2,,,,,,,,,,,"$4,150,000","$4,027,179","$49,405","$46,935","$47,943",https://remax.com.mx/propiedad/486200
Remax,Adolfo Prieto,Del Valle Centro,123,3,,,,1,2,2,,,,,,,,,,,"$4,150,000","$4,027,179","$33,740","$32,053","$32,741",https://remax.com.mx/propiedad/473216
Remax,Necaxa,Portales Norte,92,3,,,,1,2,2,,,,,,,,,,,"$4,150,000","$4,027,179","$45,109","$42,853","$43,774",https://remax.com.mx/propiedad/459611
Remax,Casas Grandes ,Narvarte Oriente,100,3,,,,2,2,2,,,,,,,,,,,"$4,150,500","$4,027,679","$41,455","$39,382","$40,229",https://remax.com.mx/propiedad/477503
Remax,"Calz, De La Viga ",Militar Marte,146,4,,,,2,2,2,,,,,,,,,,,"$4,155,000","$4,032,179","$28,459","$27,036","$27,618",https://remax.com.mx/propiedad/485785
Remax,Casas Grandes ,Narvarte Oriente,101,3,,,,2,2,2,,,,,,,,,,,"$4,166,500","$4,043,679","$41,417","$39,346","$40,196",https://remax.com.mx/propiedad/477509
Remax,Republicas,Portales Oriente,77,2,,,,1,2,2,,,,,,,,,,,"$4,180,000","$4,057,179","$54,286","$51,571","$52,691",https://remax.com.mx/propiedad/489829
Remax,Carretera México Toluca  Be Grand Contadero,Contadero,59,1,,,,1,1,1,,,,,,,,,,,"$4,190,000","$4,067,179","$71,017","$67,466","$68,935",https://remax.com.mx/propiedad/503825
Remax,Av. Santa Fe,Lomas de Santa Fe,44,1,,,,1,1,1,,,,,,,,,,,"$4,193,300","$4,070,479","$95,302","$90,537","$92,511",https://remax.com.mx/propiedad/462396
Remax,Av. México ,Manzanastitla,165,4,,,,2,3,2,,,,,,,,,,,"$4,199,000","$4,076,179","$25,448","$24,176","$24,704",https://remax.com.mx/propiedad/504919
Remax,Be Grand Alto Polanco ,Anahuac I Seccion,55,1,,,,,1,1,,,,,,,,,,,"$4,200,000","$4,077,179","$76,364","$72,545","$74,131",https://remax.com.mx/propiedad/505577
Remax,Prolongación El Bordo,Viejo Ejido de Santa ursula Coapa,89,2,,,,3,2,2,,,,,,,,,,,"$4,200,000","$4,077,179","$47,191","$44,831","$45,811",https://remax.com.mx/propiedad/503880
Remax,Tiepolo,Ciudad de los Deportes,97,3,,,,1,2,2,,,,,,,,,,,"$4,200,000","$4,077,179","$43,299","$41,134","$42,033",https://remax.com.mx/propiedad/500939
Remax,Cuauhtémoc,Narvarte Poniente,109,3,,,,2,2,2.5,,,,,,,,,,,"$4,200,000","$4,077,179","$38,532","$36,606","$37,405",https://remax.com.mx/propiedad/496683
Remax,"Sebastian Del Piombo, Mixcoac ",Mixcoac,90,2,,,,1,2,2,,,,,,,,,,,"$4,200,000","$4,077,179","$46,667","$44,333","$45,302",https://remax.com.mx/propiedad/496381
Remax,Dr. Vertiz,Narvarte Oriente,96,3,,,,2,3,2,,,,,,,,,,,"$4,200,000","$4,077,179","$43,750","$41,563","$42,471",https://remax.com.mx/propiedad/480725
Remax,Arequipa,Lindavista Sur,88,2,,,,,2,2,,,,,,,,,,,"$4,200,000","$4,077,179","$47,727","$45,341","$46,332",https://remax.com.mx/propiedad/492041
Remax,Margaritas,Lomas de Memetla,108,3,,,,2,3,2.5,,,,,,,,,,,"$4,200,000","$4,077,179","$38,889","$36,944","$37,752",https://remax.com.mx/propiedad/479002
Remax,Peten,Vertiz Narvarte,85,2,,,,2,3,2.5,,,,,,,,,,,"$4,200,000","$4,077,179","$49,157","$46,699","$47,720",https://remax.com.mx/propiedad/451684
Remax,Blvd. Adolfo Lopez Mateos,San angel,68,2,,,,1,2,2,,,,,,,,,,,"$4,200,000","$4,077,179","$61,765","$58,676","$59,959",https://remax.com.mx/propiedad/455577
Remax,Revolucion,San Pedro de los Pinos,70,2,,,,1,2,2,,,,,,,,,,,"$4,220,000","$4,097,179","$60,286","$57,271","$58,531",https://remax.com.mx/propiedad/456832
Remax,Alfonso Herrera,San Rafael,65,1,,,,0,1,1,,,,,,,,,,,"$4,221,900","$4,099,079","$64,952","$61,705","$63,063",https://remax.com.mx/propiedad/494636
Remax,Puebla,Roma Norte,86,2,,,,,1,1,,,,,,,,,,,"$4,250,000","$4,127,179","$49,419","$46,948","$47,990",https://remax.com.mx/propiedad/504526
Remax,Camino A Huizachito,Granjas Navidad,123,3,,,,2,2,2,,,,,,,,,,,"$4,250,000","$4,127,179","$34,553","$32,825","$33,554",https://remax.com.mx/propiedad/504529
Remax,Tabacalera,Tabacalera,136,4,,,,2,2,2.5,,,,,,,,,,,"$4,250,000","$4,127,179","$31,250","$29,688","$30,347",https://remax.com.mx/propiedad/493650
Remax,Ejercito Nacional,Veronica Anzures,88,2,,,,2,2,2,,,,,,,,,,,"$4,250,000","$4,127,179","$48,295","$45,881","$46,900",https://remax.com.mx/propiedad/451883
Remax,Zempoala,Narvarte Oriente,93,3,,,,1,2,2,,,,,,,,,,,"$4,255,156","$4,132,335","$45,754","$43,467","$44,434",https://remax.com.mx/propiedad/504716
Remax,Ángel Urraza,Independencia,73,2,,,,2,2,2,,,,,,,,,,,"$4,268,875","$4,146,054","$58,478","$55,554","$56,795",https://remax.com.mx/propiedad/451751
Remax,Eje Central,Portales Norte,100,3,,,,1,2,2.5,,,,,,,,,,,"$4,269,000","$4,146,179","$42,690","$40,556","$41,462",https://remax.com.mx/propiedad/500213
Remax,"Laguna De Mayran,  Anahuac",Anahuac I Seccion,82,2,,,,2,2,2,,,,,,,,,,,"$4,275,000","$4,152,179","$52,134","$49,527","$50,636",https://remax.com.mx/propiedad/489230
Remax,Andrea Del Castagno,Santa Maria Nonoalco,79,2,,,,2,2,2,,,,,,,,,,,"$4,277,000","$4,154,179","$54,139","$51,432","$52,585",https://remax.com.mx/propiedad/430371
Remax,Zacatecas ,Roma Norte,67,2,,,,1,1,2,,,,,,,,,,,"$4,278,000","$4,155,179","$63,851","$60,658","$62,018",https://remax.com.mx/propiedad/451780
Remax,Dr. José Ma. Vertiz,Vertiz Narvarte,85,2,,,,2,2,2,,,,,,,,,,,"$4,290,000","$4,167,179","$50,471","$47,947","$49,026",https://remax.com.mx/propiedad/472416
Remax,San Fernando,Guerrero,130,3,,,,1,2,2,,,,,,,,,,,"$4,290,000","$4,167,179","$33,000","$31,350","$32,055",https://remax.com.mx/propiedad/485530
Remax,The Point Santa Fe,Lomas de Santa Fe,78,2,,,,1,1,1,,,,,,,,,,,"$4,291,135","$4,168,313","$55,015","$52,264","$53,440",https://remax.com.mx/propiedad/454522
Remax,Pitágoras,Del Valle Centro,75,2,,,,1,2,2,,,,,,,,,,,"$4,295,000","$4,172,179","$57,267","$54,403","$55,629",https://remax.com.mx/propiedad/493412
Remax,"Carretera Mexico Toluca, Contadero",Contadero,96,3,,,,2,2,2,,,,,,,,,,,"$4,300,000","$4,177,179","$44,792","$42,552","$43,512",https://remax.com.mx/propiedad/471503
Remax,Mitla,Narvarte Poniente,98,3,,,,2,2,2,,,,,,,,,,,"$4,300,000","$4,177,179","$43,878","$41,684","$42,624",https://remax.com.mx/propiedad/456285
Remax,Privada De Constitución,Escandon I Seccion,90,2,,,,2,2,2,,,,,,,,,,,"$4,300,000","$4,177,179","$47,778","$45,389","$46,413",https://remax.com.mx/propiedad/497731
Remax,Carlos Lazo ,Santa Fe Cuajimalpa,85,2,,,,2,1,1,,,,,,,,,,,"$4,300,000","$4,177,179","$50,588","$48,059","$49,143",https://remax.com.mx/propiedad/489921
Remax,Lago Zurich ,Ampliacion Granada,55,1,,,,1,1,1,,,,,,,,,,,"$4,300,000","$4,177,179","$77,941","$74,044","$75,715",https://remax.com.mx/propiedad/482522
Remax,Torreón,Roma Sur,64,1,,,,2,2,2,,,,,,,,,,,"$4,320,000","$4,197,179","$67,500","$64,125","$65,581",https://remax.com.mx/propiedad/490216
Remax,Aguascalientes,Roma Sur,66,2,,,,,2,1,,,,,,,,,,,"$4,340,240","$4,217,419","$65,355","$62,087","$63,506",https://remax.com.mx/propiedad/494515
Remax,Aguascalientes,Roma Sur,66,2,,,,0,2,1,,,,,,,,,,,"$4,340,240","$4,217,419","$65,355","$62,087","$63,506",https://remax.com.mx/propiedad/493015
Remax,Baja California,Roma Sur,84,2,,,,1,2,2,,,,,,,,,,,"$4,350,000","$4,227,179","$51,786","$49,196","$50,324",https://remax.com.mx/propiedad/465888
Remax,Bartolache,Del Valle Sur,96,3,,,,2,2,2,,,,,,,,,,,"$4,350,000","$4,227,179","$45,313","$43,047","$44,033",https://remax.com.mx/propiedad/485030
Remax,Lago Alberto. Torre 2,Anahuac I Seccion,57,1,,,,1,1,1,,,,,,,,,,,"$4,350,000","$4,227,179","$76,316","$72,500","$74,161",https://remax.com.mx/propiedad/487940
Remax,Romero De Terreros,Narvarte Poniente,123,3,,,,,2,2.5,,,,,,,,,,,"$4,350,000","$4,227,179","$35,366","$33,598","$34,367",https://remax.com.mx/propiedad/476549
Remax,Prol. Paseo De La Reforma,Lomas de Santa Fe,90,2,,,,2,2,2,,,,,,,,,,,"$4,390,000","$4,267,179","$48,778","$46,339","$47,413",https://remax.com.mx/propiedad/435877
Remax,"Carretera Mexico Toluca, Contadero",Contadero,91,3,,,,2,1,1.5,,,,,,,,,,,"$4,400,000","$4,277,179","$48,352","$45,934","$47,002",https://remax.com.mx/propiedad/471501
Remax,Mitla,Narvarte Poniente,105,3,,,,1,2,2,,,,,,,,,,,"$4,400,000","$4,277,179","$41,905","$39,810","$40,735",https://remax.com.mx/propiedad/460283
Remax,Av. México,Manzanastitla,126,3,,,,2,2,2,,,,,,,,,,,"$4,400,000","$4,277,179","$34,921","$33,175","$33,946",https://remax.com.mx/propiedad/481343
Remax,Lisboa,Juarez,127,3,,,,,2,2,,,,,,,,,,,"$4,400,000","$4,277,179","$34,646","$32,913","$33,679",https://remax.com.mx/propiedad/489626
Remax,Calle 2,Acacias,70,2,,,,1,2,2,,,,,,,,,,,"$4,400,000","$4,277,179","$62,857","$59,714","$61,103",https://remax.com.mx/propiedad/482194
Remax,Mitla,Narvarte Poniente,98,3,,,,1,2,2,,,,,,,,,,,"$4,400,000","$4,277,179","$44,898","$42,653","$43,645",https://remax.com.mx/propiedad/456278
Remax,Calzada Desierto De Los Leones,Tetelpan,60,1,,,,2,2,2,,,,,,,,,,,"$4,400,000","$4,277,179","$73,333","$69,667","$71,286",https://remax.com.mx/propiedad/466324
Remax,Lago Rodolfo,Granada,112,3,,,,1,2,1,,,,,,,,,,,"$4,400,000","$4,277,179","$39,286","$37,321","$38,189",https://remax.com.mx/propiedad/397469
Remax,La Quemada,Narvarte Oriente,93,3,,,,1,3,2,,,,,,,,,,,"$4,424,000","$4,301,179","$47,570","$45,191","$46,249",https://remax.com.mx/propiedad/494523
Remax,Monte Albán,Narvarte Poniente,108,3,,,,1,3,2,,,,,,,,,,,"$4,436,000","$4,313,179","$41,074","$39,020","$39,937",https://remax.com.mx/propiedad/476235
Remax,Av Coyoacán ,Acacias,85,2,,,,2,2,2,,,,,,,,,,,"$4,450,000","$4,327,179","$52,353","$49,735","$50,908",https://remax.com.mx/propiedad/499250
Remax,Luz Saviñon,Del Valle Centro,99,3,,,,1,2,2,,,,,,,,,,,"$4,450,000","$4,327,179","$44,949","$42,702","$43,709",https://remax.com.mx/propiedad/496233
Remax,"Nápoles.  Arizona,",Napoles,80,2,,,,2,2,2,,,,,,,,,,,"$4,450,000","$4,327,179","$55,376","$52,607","$53,847",https://remax.com.mx/propiedad/468646
Remax,Xola,Del Valle Centro,82,2,,,,2,2,2,,,,,,,,,,,"$4,457,000","$4,334,179","$54,354","$51,636","$52,856",https://remax.com.mx/propiedad/503563
Remax,Amores,Del Valle Norte,86,2,,,,2,2,2,,,,,,,,,,,"$4,460,000","$4,337,179","$51,770","$49,182","$50,344",https://remax.com.mx/propiedad/498281
Remax,Prol. Moliere,Granada,50,1,,,,1,1,1,,,,,,,,,,,"$4,470,000","$4,347,179","$89,186","$84,727","$86,735",https://remax.com.mx/propiedad/463302
Remax,Barranca Del Muerto,Merced Gomez,163,4,,,,2,2,2,,,,,,,,,,,"$4,490,000","$4,367,179","$27,546","$26,169","$26,793",https://remax.com.mx/propiedad/495501
Remax,Zacatecas,Roma Norte,90,2,,,,2,3,2,,,,,,,,,,,"$4,495,000","$4,372,179","$49,944","$47,447","$48,580",https://remax.com.mx/propiedad/504612
Remax,Cordoba,Roma Norte,86,2,,,,1,3,2,,,,,,,,,,,"$4,495,000","$4,372,179","$52,267","$49,654","$50,839",https://remax.com.mx/propiedad/504613
Remax,Cerrada De Amores,Del Valle Norte,160,4,,,,1,3,2,,,,,,,,,,,"$4,495,000","$4,372,179","$28,094","$26,689","$27,326",https://remax.com.mx/propiedad/491626
Remax,"Col Alpes Gutierrez Zamora ,",Ampliacion Alpes,88,2,,,,2,2,2,,,,,,,,,,,"$4,498,110","$4,375,289","$51,167","$48,609","$49,770",https://remax.com.mx/propiedad/471952
Remax,Santa Maria La Rivera  Dr.Alt ,Santa Maria la Ribera,112,3,,,,1,3,2,,,,,,,,,,,"$4,500,000","$4,377,179","$40,179","$38,170","$39,082",https://remax.com.mx/propiedad/466192
Remax,Durango ,Roma Norte,90,2,,,,2,2,2,,,,,,,,,,,"$4,500,000","$4,377,179","$50,000","$47,500","$48,635",https://remax.com.mx/propiedad/505160
Remax,Río Papaloapan,Cuauhtemoc,77,2,,,,2,2,2,,,,,,,,,,,"$4,500,000","$4,377,179","$58,442","$55,519","$56,846",https://remax.com.mx/propiedad/504287
Remax,Prolongación Paseo De La Reforma ,San Gabriel,80,2,,,,2,2,2,,,,,,,,,,,"$4,500,000","$4,377,179","$56,250","$53,438","$54,715",https://remax.com.mx/propiedad/504141
Remax,"Avenida México  "" Residencial Enttorno "" Cuajimalpa",Manzanastitla,150,4,,,,2,3,2,,,,,,,,,,,"$4,500,000","$4,377,179","$30,000","$28,500","$29,181",https://remax.com.mx/propiedad/465369
Remax,Navío,Lomas del Chamizal,71,2,,,,1,2,2,,,,,,,,,,,"$4,500,000","$4,377,179","$63,622","$60,441","$61,886",https://remax.com.mx/propiedad/501575
Remax,Quetzal ,Ampliacion Las aguilas,88,2,,,,1,2,2,,,,,,,,,,,"$4,500,000","$4,377,179","$51,136","$48,580","$49,741",https://remax.com.mx/propiedad/501377
